# timestamp tx ty tz qx qy qz qw
1403636620.7635558 0.0 0.0 0.0 -0.04505081617603996 -0.7936184880352317 0.0 0.606745514536816 
1403636620.8135555 -2.7917789202019583e-05 7.649681065092559e-05 -6.501906118511761e-05 -0.04504967881364605 -0.7936047114079748 9.179116535203609e-05 0.6067636113382496 
1403636620.8635557 -1.892949929516792e-05 0.00020184232823846607 -0.00011617017711508529 -0.04505512876023496 -0.7936064002184554 7.543491909891772e-05 0.6067610000768644 
1403636620.9135556 -5.15503822726906e-05 0.0002740261934825768 -0.00016489902801329913 -0.04509554154359214 -0.7936028989150573 0.000125155404360213 0.6067625691344453 
1403636620.9635556 -0.00014878433903160404 0.0003509064273626545 -0.00022178810220328907 -0.04511548219562101 -0.7936322029759424 8.901001586971033e-05 0.6067227634950139 
1403636621.0135555 -0.00027111555487366725 0.00040968417960101744 -0.0003195827028552539 -0.04510634296812874 -0.7936854558125569 0.00010706354561675668 0.6066537757181213 
1403636621.0635557 -0.0004369678929214041 0.0005519550898747375 -0.0003752289505428195 -0.044818259324321034 -0.7936312234215076 -0.0003522856326051574 0.6067459771077616 
1403636621.1135554 -0.0006015647236821564 0.0002839103966717649 -0.00047637705250688 -0.04506884333744912 -0.7936531245758127 0.00020390029449798827 0.6066988343782636 
1403636621.1635556 -0.0008798257054250005 0.0002460077501924681 -0.0006116979824197789 -0.04472427511712275 -0.7936597990373956 -0.00023731654465886958 0.6067155892904241 
1403636621.2135556 -0.001236711553482323 3.323022786339574e-05 -0.000782860849385452 -0.04499742515517479 -0.7935935092719878 9.876633623324384e-05 0.606782138840611 
1403636621.2635558 -0.0016461693370661515 1.9645812625955546e-05 -0.0009633565789320499 -0.044792373004244414 -0.7936654259712953 -0.00023250643158824949 0.6067032065839199 
1403636621.3135555 -0.002156156827882068 -0.00013055574950860427 -0.0011584329674912744 -0.04500465073919115 -0.7936716667864708 9.078081644960993e-05 0.6066793704347233 
1403636621.3635557 -0.002657252702459959 -8.975567113027784e-05 -0.0013357264361231703 -0.04484547779604681 -0.7936578897682389 -0.00015439264922654234 0.6067091669760561 
1403636621.4135556 -0.003087963848647409 -0.00021190977458835746 -0.001621050093144955 -0.04506086915700442 -0.7936935357971454 0.00017564140578984623 0.6066465679905703 
1403636621.4635556 -0.0034939898675317195 -0.0001450693429905356 -0.0018439130526478455 -0.044874667950457275 -0.7936578515087023 -0.00012495548697900446 0.6067070654781048 
1403636621.5135555 -0.003876774317812977 -0.00015155520747814734 -0.002105399597173279 -0.04498878371323549 -0.7936976234057367 7.033854663040097e-05 0.6066465915115471 
1403636621.5635557 -0.004256763362993646 8.844754629519948e-06 -0.002394490761862691 -0.04483572126261919 -0.7937074897679053 -0.00015518711202386912 0.6066449989097011 
1403636621.6135554 -0.004684021384295224 5.2477491745239776e-05 -0.0026543021575252622 -0.04501973633711904 -0.7937156268312222 5.850735081631072e-05 0.6066207411892098 
1403636621.6635556 -0.005168438254605067 0.00021774489364729128 -0.0028697775032691625 -0.04488686766291086 -0.7937278913293917 -0.00016449600099907694 0.6066145205798121 
1403636621.7135556 -0.0010523374130337465 -0.004522747120102942 0.0020368068324948807 -0.04473498328570813 -0.7935529274888367 0.00012291822629260178 0.6068546097999372 
1403636621.7635558 -0.001221086885378613 -0.0046438526072040305 0.0019862578484482443 -0.04462547343990223 -0.793539500919662 1.250865703613141e-05 0.6068802414348088 
1403636621.8135555 -0.0001488917066188543 -0.005081641568163634 0.0023789730021327696 -0.044897918410983215 -0.7936436159628281 0.0001244364521243928 0.6067239671212745 
1403636621.8635557 -0.00029585753113191564 -0.005166105546238451 0.0022284269819597483 -0.04485161886145484 -0.7936929636746745 5.221051201839643e-05 0.606662846211041 
1403636621.9135556 0.000510270445345482 -0.004462588399460532 0.0033959726912734097 -0.0450252102240325 -0.7935242646657172 0.0003397544214128776 0.6068705433599059 
1403636621.9635556 0.0005125910509132174 -0.004389626147561075 0.003294042513295267 -0.04503333385241581 -0.7934686844428248 0.0004113945519289789 0.606942564338037 
1403636622.0135555 0.0004121703925364038 -0.004651018971350869 0.0031281058459127578 -0.044940017251373594 -0.7935644106331772 0.0002117719377848902 0.6068244195634441 
1403636622.0635557 0.0004372777990311337 -0.004688091791850565 0.0029901820227562588 -0.04496500207818742 -0.7935246621285275 0.00031349037807796995 0.6068745017758596 
1403636622.1135554 0.001167133059261883 -0.004661961153864392 0.0035434528511862247 -0.045171932068847995 -0.7935545582364615 0.0003748681469706919 0.6068200055446215 
1403636622.1635556 0.0011866308468084313 -0.0045850821497869535 0.003390176119363426 -0.04513555128769152 -0.7935447665916042 0.00039602447639548835 0.6068355037319807 
1403636622.2135556 0.0019303244610514177 -0.004476410062058128 0.0038764925490760004 -0.04520913363804081 -0.7935269306427855 0.0005358021846215013 0.6068532421404345 
1403636622.2635558 0.0020856345527349384 -0.00427715952969028 0.003759262287791194 -0.045176583077792605 -0.7935718289734981 0.0005141544580404909 0.6067969711907483 
1403636622.3135555 0.0023042790509624493 -0.0031179129369158583 0.004366917790291302 -0.04511818340906186 -0.7933939291792823 0.0005152839990656574 0.6070339011535734 
1403636622.3635557 0.0027008184868203807 -0.0028316151187360336 0.0043344765516901826 -0.04507830683258796 -0.7934057099810488 0.0004834249593870144 0.6070214921424807 
1403636622.4135556 0.002297851987504892 -0.0028479081494502596 0.004633978807050244 -0.0450988605160948 -0.7934390861727385 0.0005906486737478448 0.6069762437259499 
